random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
52,[17],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[14.0, 17.0, 11.333333333333334, 8.5, 17.0, 14.166666666666666, 12.142857142857142, 17.5, 20.88888888888889, 25.6, 27.636363636363637, 28.416666666666668, 28.923076923076923, 28.285714285714285, 26.4, 25.5625, 24.058823529411764, 23.11111111111111, 23.94736842105263, 24.8, 26.142857142857142, 26.818181818181817, 27.043478260869566, 27.666666666666668, 27.96, 27.192307692307693, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
53,[39],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[62.0, 41.0, 27.333333333333332, 20.5, 26.6, 22.166666666666668, 19.0, 23.5, 26.22222222222222, 30.4, 32.0, 32.416666666666664, 32.61538461538461, 31.714285714285715, 29.6, 28.5625, 26.88235294117647, 25.77777777777778, 25.157894736842106, 25.85, 26.571428571428573, 27.772727272727273, 28.347826086956523, 28.5, 29.04, 29.26923076923077, 28.48148148148148, 29.714285714285715, 29.96551724137931, 29.966666666666665, 31.29032258064516, 31.96875, 31.0, 30.08823529411765, 30.314285714285713, 30.97222222222222, 32.37837837837838, 32.55263157894737, 33.333333333333336, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
54,[58],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 46, 52, 56, 42, 43, 48, 47, 53, 39, 40, 41, 51, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 0.0, 28.0, 24.0, 58.0, 26.0, 74.0, 51.0, 71.0, 62.0, 50.0, 54.0, 34.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[1.0, 10.5, 7.0, 5.25, 14.4, 12.0, 10.285714285714286, 15.875, 19.444444444444443, 24.3, 26.454545454545453, 27.333333333333332, 27.923076923076923, 27.357142857142858, 25.533333333333335, 24.75, 23.294117647058822, 22.38888888888889, 21.94736842105263, 22.8, 23.666666666666668, 25.0, 25.695652173913043, 25.958333333333332, 26.6, 26.923076923076923, 26.22222222222222, 27.535714285714285, 27.862068965517242, 27.933333333333334, 29.322580645161292, 30.0625, 29.151515151515152, 28.294117647058822, 28.571428571428573, 29.27777777777778, 30.72972972972973, 30.94736842105263, 31.76923076923077, 70.97638300731198, 63.52642364586355, 58.00687465112954, 49.861418661299744, 50.37683126439599, 44.485182376517486, 43.733661901807565, 43.59530197734774, 46.66024269442158, 50.9952988983805, 51.11863942812315, 51.38155014729964, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
55,[5],"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[0.0, 10.0, 6.666666666666667, 5.0, 14.2, 11.833333333333334, 18.0, 21.75, 26.88888888888889, 29.0, 29.727272727272727, 30.166666666666668, 29.384615384615383, 27.285714285714285, 26.333333333333332, 24.6875, 23.647058823529413, 23.11111111111111, 23.94736842105263, 24.8, 26.142857142857142, 26.818181818181817, 27.043478260869566, 27.666666666666668, 27.96, 27.192307692307693, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
56,[54],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 47, 56, 52, 42, 43, 44, 46, 39, 40, 41, 51, 48, 45, 53, 58, 57, 50, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 51.0, 24.0, 28.0, 58.0, 26.0, 32.0, 0.0, 62.0, 50.0, 54.0, 34.0, 74.0, 29.0, 71.0, 1.0, 2.0, 0.0, 0.0, 6.0, 2.0]","[60.0, 40.0, 26.666666666666668, 20.0, 26.2, 21.833333333333332, 18.714285714285715, 23.25, 26.0, 30.2, 31.818181818181817, 32.25, 32.46153846153846, 31.571428571428573, 29.466666666666665, 28.4375, 26.764705882352942, 25.666666666666668, 25.05263157894737, 25.75, 26.476190476190474, 27.681818181818183, 28.26086956521739, 28.416666666666668, 28.96, 29.192307692307693, 28.40740740740741, 29.642857142857142, 29.896551724137932, 29.9, 31.225806451612904, 31.90625, 30.939393939393938, 30.029411764705884, 30.257142857142856, 30.916666666666668, 32.32432432432432, 32.5, 33.282051282051285, 70.98646456003416, 68.52622757568506, 60.34024854585427, 59.52802558167011, 62.512704063631205, 51.08759122383112, 49.7531032031329, 44.918976860621264, 50.46653752070739, 52.05338175373943, 51.363039736640154, 48.818044920405995, 43.47574387488793, 42.27616492643964, 35.99779100473732, 31.269720523678153, 33.34322696050797, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
57,[2],"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[0.0, 10.0, 6.666666666666667, 17.75, 14.2, 11.833333333333334, 18.0, 21.75, 26.88888888888889, 29.0, 29.727272727272727, 30.166666666666668, 29.384615384615383, 27.285714285714285, 26.333333333333332, 24.6875, 23.647058823529413, 23.11111111111111, 23.94736842105263, 24.8, 26.142857142857142, 26.818181818181817, 27.043478260869566, 27.666666666666668, 27.96, 27.192307692307693, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
58,[37],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[63.0, 41.5, 27.666666666666668, 20.75, 26.8, 22.333333333333332, 19.142857142857142, 23.625, 26.333333333333332, 30.5, 32.09090909090909, 32.5, 32.69230769230769, 31.785714285714285, 29.666666666666668, 28.625, 26.941176470588236, 25.833333333333332, 25.210526315789473, 25.9, 26.61904761904762, 27.818181818181817, 28.391304347826086, 28.541666666666668, 29.08, 29.307692307692307, 28.51851851851852, 29.75, 30.0, 30.0, 31.322580645161292, 32.0, 31.03030303030303, 30.11764705882353, 30.34285714285714, 31.0, 32.4054054054054, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
59,[14],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[13.0, 16.5, 11.0, 8.25, 16.8, 14.0, 12.0, 17.375, 20.77777777777778, 25.5, 27.545454545454547, 28.333333333333332, 28.846153846153847, 28.214285714285715, 26.333333333333332, 24.6875, 23.647058823529413, 23.11111111111111, 23.94736842105263, 24.8, 26.142857142857142, 26.818181818181817, 27.043478260869566, 27.666666666666668, 27.96, 27.192307692307693, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
60,[19],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[41.0, 30.5, 20.333333333333332, 15.25, 22.4, 18.666666666666668, 16.0, 20.875, 23.88888888888889, 28.3, 30.09090909090909, 30.666666666666668, 31.0, 30.214285714285715, 28.2, 27.25, 25.647058823529413, 24.61111111111111, 24.05263157894737, 24.8, 26.142857142857142, 26.818181818181817, 27.043478260869566, 27.666666666666668, 27.96, 27.192307692307693, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
61,[31],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[0.0, 10.0, 6.666666666666667, 5.0, 14.2, 11.833333333333334, 10.142857142857142, 15.75, 19.333333333333332, 24.2, 26.363636363636363, 27.25, 27.846153846153847, 27.285714285714285, 25.466666666666665, 24.6875, 23.235294117647058, 22.333333333333332, 21.894736842105264, 22.75, 23.61904761904762, 24.954545454545453, 25.652173913043477, 25.916666666666668, 26.56, 26.884615384615383, 26.185185185185187, 27.5, 27.82758620689655, 27.9, 29.29032258064516, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
62,[59],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 52, 56, 46, 39, 40, 41, 48, 47, 51, 53, 43, 50, 58, 42, 44, 45, 54, 57, 55, 49]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 28.0, 24.0, 0.0, 62.0, 50.0, 54.0, 74.0, 51.0, 34.0, 71.0, 26.0, 0.0, 1.0, 58.0, 32.0, 29.0, 60.0, 2.0, 0.0, 6.0]","[2.0, 11.0, 7.333333333333333, 5.5, 14.6, 12.166666666666666, 10.428571428571429, 16.0, 19.555555555555557, 24.4, 26.545454545454547, 27.416666666666668, 28.0, 27.428571428571427, 25.6, 24.8125, 23.352941176470587, 22.444444444444443, 22.0, 22.85, 23.714285714285715, 25.045454545454547, 25.73913043478261, 26.0, 26.64, 26.96153846153846, 26.25925925925926, 27.571428571428573, 27.896551724137932, 27.966666666666665, 29.35483870967742, 30.09375, 29.181818181818183, 28.323529411764707, 28.6, 29.305555555555557, 30.756756756756758, 30.973684210526315, 31.794871794871796, 72.17543395628458, 62.57318738218275, 60.22359893058905, 50.47346209728298, 53.53614861557125, 51.788442702797845, 49.40205625244626, 50.95368212433358, 47.935150099124506, 42.32176165327752, 36.39334849583673, 32.05441286657946, 30.549849170262355, 27.982397360016883, 37.13389308817569, 34.117598163008374, 23.104322438586923, 28.46348735198599, 19.776082499631652, 30.95279801181179]"
63,[28],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[30.0, 25.0, 16.666666666666668, 12.5, 20.2, 16.833333333333332, 14.428571428571429, 19.5, 22.666666666666668, 27.2, 29.09090909090909, 29.75, 30.153846153846153, 29.428571428571427, 27.466666666666665, 26.5625, 25.0, 24.0, 23.473684210526315, 24.25, 25.047619047619047, 26.318181818181817, 26.956521739130434, 27.166666666666668, 27.76, 28.03846153846154, 27.296296296296298, 28.571428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
64,[30],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 63.0, 37.0, 30.0, 71.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[53.0, 36.5, 24.333333333333332, 18.25, 24.8, 20.666666666666668, 17.714285714285715, 22.375, 25.22222222222222, 29.5, 31.181818181818183, 31.666666666666668, 31.923076923076923, 31.071428571428573, 29.0, 28.0, 26.352941176470587, 25.27777777777778, 24.68421052631579, 25.4, 26.142857142857142, 27.363636363636363, 27.956521739130434, 28.125, 28.68, 28.923076923076923, 28.14814814814815, 29.392857142857142, 29.655172413793103, 29.666666666666668, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
65,[26],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 52, 56, 40, 41, 46, 51, 48, 47, 53, 58, 43, 42, 44, 45, 50, 54, 57, 55, 49, 59]","[20.0, 0.0, 0.0, 51.0, 0.0, 0.0, 55.0, 48.0, 68.0, 48.0, 37.0, 35.0, 20.0, 0.0, 13.0, 0.0, 7.0, 14.0, 39.0, 41.0, 53.0, 41.0, 32.0, 42.0, 35.0, 8.0, 37.0, 30.0, 71.0, 53.0, 0.0, 0.0, 38.0, 54.0, 83.0, 39.0, 63.0, 77.0, 62.0, 28.0, 24.0, 50.0, 54.0, 0.0, 34.0, 74.0, 51.0, 71.0, 1.0, 26.0, 58.0, 32.0, 29.0, 0.0, 60.0, 2.0, 0.0, 6.0, 2.0]","[63.0, 41.5, 27.666666666666668, 20.75, 26.8, 22.333333333333332, 19.142857142857142, 23.625, 26.333333333333332, 30.5, 32.09090909090909, 32.5, 32.69230769230769, 31.785714285714285, 29.666666666666668, 28.625, 26.941176470588236, 25.833333333333332, 25.210526315789473, 25.9, 26.61904761904762, 27.818181818181817, 28.391304347826086, 28.541666666666668, 29.08, 29.307692307692307, 28.51851851851852, 28.821428571428573, 28.862068965517242, 30.266666666666666, 31.0, 30.03125, 29.12121212121212, 29.38235294117647, 30.085714285714285, 31.555555555555557, 31.756756756756758, 32.578947368421055, 33.717948717948715, 72.4516165382043, 63.099166987636806, 53.25595884841902, 52.92184716455188, 52.79663763851216, 51.12855794825656, 49.0463556778567, 50.52602614069812, 44.84455516742131, 33.73643265373494, 35.07789345820925, 30.465118199738992, 38.0505134491833, 34.03828939418245, 32.55722184282524, 24.675367019811684, 30.41737645412805, 22.42862154977863, 15.989246849598441, 12.327442339565845]"
