random_state,initial_indices,selected_indices_per_step,actual_rewards_per_step,predicted_rewards_per_step
52,[17],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[16.0, 39.0, 53.666666666666664, 58.5, 60.6, 56.0, 58.42857142857143, 62.125, 60.666666666666664, 61.9, 64.36363636363636, 66.58333333333333, 68.53846153846153, 65.85714285714286, 64.86666666666666, 66.5, 62.588235294117645, 64.27777777777777, 63.68421052631579, 61.55, 59.38095238095238, 58.77272727272727, 58.04347826086956, 55.708333333333336, 55.0, 54.38461538461539, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
53,[39],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[0.0, 31.0, 48.333333333333336, 54.5, 57.4, 53.333333333333336, 56.142857142857146, 60.125, 58.888888888888886, 60.3, 62.90909090909091, 65.25, 67.3076923076923, 64.71428571428571, 63.8, 65.5, 61.64705882352941, 63.388888888888886, 60.89473684210526, 60.5, 58.61904761904762, 56.68181818181818, 56.21739130434783, 55.625, 53.48, 52.88461538461539, 52.370370370370374, 50.535714285714285, 48.86206896551724, 47.233333333333334, 45.74193548387097, 44.40625, 43.75757575757576, 44.88235294117647, 43.6, 42.52777777777778, 41.45945945945946, 40.44736842105263, 39.666666666666664, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
54,[58],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 47, 59, 55, 48, 46, 50, 49, 42, 54, 57, 45, 52, 51, 53, 43, 44, 39, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0]","[0.0, 31.0, 48.333333333333336, 54.5, 57.4, 53.333333333333336, 56.142857142857146, 60.125, 58.888888888888886, 60.3, 62.90909090909091, 65.25, 67.3076923076923, 64.71428571428571, 63.8, 65.5, 61.64705882352941, 63.388888888888886, 60.89473684210526, 60.5, 58.61904761904762, 56.68181818181818, 56.21739130434783, 55.625, 53.48, 52.88461538461539, 52.370370370370374, 50.535714285714285, 48.86206896551724, 47.233333333333334, 45.74193548387097, 44.40625, 43.75757575757576, 44.88235294117647, 43.6, 42.52777777777778, 41.45945945945946, 40.44736842105263, 39.666666666666664, 73.48163419674158, 66.48206824488875, 58.82857605044009, 58.09759595997808, 63.76645910105261, 36.63741288034315, 39.81859722168237, 27.709523285422186, 26.678846441208712, 19.390654062710347, 19.022761962794153, 8.024013320476945, 7.015423493054447, 0.457934607282916, -3.621074465206457, -2.2803454681909066, -4.306783825247389, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
55,[5],"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[73.0, 67.5, 72.66666666666667, 72.75, 72.0, 65.5, 68.71428571428571, 66.25, 67.0, 69.2, 71.18181818181819, 72.91666666666667, 69.6923076923077, 68.35714285714286, 69.86666666666666, 65.5, 67.11764705882354, 64.27777777777777, 63.68421052631579, 61.55, 59.38095238095238, 58.77272727272727, 58.04347826086956, 55.708333333333336, 55.0, 54.38461538461539, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
56,[54],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 50, 59, 55, 47, 46, 49, 58, 48, 57, 42, 45, 52, 51, 53, 43, 44, 39, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 0.0, 0.0, 0.0, 4.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0]","[0.0, 31.0, 48.333333333333336, 54.5, 57.4, 53.333333333333336, 56.142857142857146, 60.125, 58.888888888888886, 60.3, 62.90909090909091, 65.25, 67.3076923076923, 64.71428571428571, 63.8, 65.5, 61.64705882352941, 63.388888888888886, 60.89473684210526, 60.5, 58.61904761904762, 56.68181818181818, 56.21739130434783, 55.625, 53.48, 52.88461538461539, 52.370370370370374, 50.535714285714285, 48.86206896551724, 47.233333333333334, 45.74193548387097, 44.40625, 43.75757575757576, 44.88235294117647, 43.6, 42.52777777777778, 41.45945945945946, 40.44736842105263, 39.666666666666664, 84.22985058169348, 68.31096249029744, 59.302680799277944, 46.397979988135106, 45.14010668384245, 42.86891322365599, 38.68858189730599, 17.91700718449391, 16.510743089047228, 14.60390118685239, 19.022761962794153, 8.024013320476945, 7.015423493054447, 0.457934607282916, -3.621074465206457, -2.2803454681909066, -4.306783825247389, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
57,[2],"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[73.0, 67.5, 72.66666666666667, 71.75, 64.0, 65.5, 68.71428571428571, 66.25, 67.0, 69.2, 71.18181818181819, 72.91666666666667, 69.6923076923077, 68.35714285714286, 69.86666666666666, 65.5, 67.11764705882354, 64.27777777777777, 63.68421052631579, 61.55, 59.38095238095238, 58.77272727272727, 58.04347826086956, 55.708333333333336, 55.0, 54.38461538461539, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
58,[37],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[10.0, 36.0, 51.666666666666664, 57.0, 59.4, 55.0, 57.57142857142857, 61.375, 60.0, 61.3, 63.81818181818182, 66.08333333333333, 68.07692307692308, 65.42857142857143, 64.46666666666667, 66.125, 62.23529411764706, 63.94444444444444, 61.421052631578945, 61.0, 59.095238095238095, 57.13636363636363, 56.65217391304348, 56.041666666666664, 53.88, 53.26923076923077, 52.74074074074074, 50.892857142857146, 49.206896551724135, 47.56666666666667, 46.064516129032256, 44.71875, 44.06060606060606, 45.1764705882353, 43.885714285714286, 42.80555555555556, 41.729729729729726, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
59,[14],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[91.0, 76.5, 78.66666666666667, 77.25, 75.6, 68.5, 69.14285714285714, 71.5, 69.0, 69.4, 71.18181818181819, 72.83333333333333, 74.3076923076923, 71.21428571428571, 69.86666666666666, 65.5, 67.11764705882354, 64.27777777777777, 63.68421052631579, 61.55, 59.38095238095238, 58.77272727272727, 58.04347826086956, 55.708333333333336, 55.0, 54.38461538461539, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
60,[19],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[21.0, 41.5, 55.333333333333336, 59.75, 61.6, 56.833333333333336, 59.142857142857146, 62.75, 61.22222222222222, 62.4, 64.81818181818181, 67.0, 68.92307692307692, 66.21428571428571, 65.2, 66.8125, 62.88235294117647, 64.55555555555556, 62.0, 61.55, 59.38095238095238, 58.77272727272727, 58.04347826086956, 55.708333333333336, 55.0, 54.38461538461539, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
61,[31],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[23.0, 42.5, 56.0, 60.25, 62.0, 57.166666666666664, 59.42857142857143, 63.0, 61.44444444444444, 62.6, 65.0, 67.16666666666667, 69.07692307692308, 66.35714285714286, 65.33333333333333, 66.9375, 63.0, 64.66666666666667, 62.10526315789474, 61.65, 59.714285714285715, 57.72727272727273, 57.21739130434783, 56.583333333333336, 54.4, 53.76923076923077, 53.22222222222222, 51.357142857142854, 49.6551724137931, 48.0, 46.483870967741936, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
62,[59],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 55, 48, 50, 58, 49, 46, 42, 54, 57, 45, 52, 51, 47, 53, 43, 44, 39, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 42.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0]","[0.0, 31.0, 48.333333333333336, 54.5, 57.4, 53.333333333333336, 56.142857142857146, 60.125, 58.888888888888886, 60.3, 62.90909090909091, 65.25, 67.3076923076923, 64.71428571428571, 63.8, 65.5, 61.64705882352941, 63.388888888888886, 60.89473684210526, 60.5, 58.61904761904762, 56.68181818181818, 56.21739130434783, 55.625, 53.48, 52.88461538461539, 52.370370370370374, 50.535714285714285, 48.86206896551724, 47.233333333333334, 45.74193548387097, 44.40625, 43.75757575757576, 44.88235294117647, 43.6, 42.52777777777778, 41.45945945945946, 40.44736842105263, 39.666666666666664, 72.35716590348633, 73.12861354510696, 60.224932303819244, 56.7745713673038, 34.984543176569574, 30.107087367372596, 30.331824733587954, 25.9102412847746, 17.768845737203016, 20.668288535384665, 10.541212700920793, 8.857157420487502, 6.274372669245768, 0.457934607282916, -3.621074465206457, -2.2803454681909066, -4.306783825247389, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
63,[28],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[0.0, 31.0, 48.333333333333336, 54.5, 57.4, 53.333333333333336, 56.142857142857146, 60.125, 58.888888888888886, 60.3, 62.90909090909091, 65.25, 67.3076923076923, 64.71428571428571, 63.8, 65.5, 61.64705882352941, 63.388888888888886, 60.89473684210526, 60.5, 58.61904761904762, 56.68181818181818, 56.21739130434783, 55.625, 53.48, 52.88461538461539, 52.370370370370374, 50.535714285714285, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
64,[30],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 1.0, 2.0, 0.0, 1.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[3.0, 32.5, 49.333333333333336, 55.25, 58.0, 53.833333333333336, 56.57142857142857, 60.5, 59.22222222222222, 60.6, 63.18181818181818, 65.5, 67.53846153846153, 64.92857142857143, 64.0, 65.6875, 61.8235294117647, 63.55555555555556, 61.05263157894737, 60.65, 58.76190476190476, 56.81818181818182, 56.34782608695652, 55.75, 53.6, 53.0, 52.48148148148148, 50.642857142857146, 48.96551724137931, 47.333333333333336, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
65,[26],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 59, 55, 50, 58, 46, 49, 42, 54, 45, 47, 48, 57, 52, 51, 53, 43, 44, 40, 41, 56]","[62.0, 83.0, 73.0, 69.0, 33.0, 73.0, 88.0, 49.0, 73.0, 89.0, 91.0, 92.0, 31.0, 51.0, 91.0, 0.0, 93.0, 16.0, 53.0, 21.0, 16.0, 46.0, 42.0, 2.0, 38.0, 39.0, 2.0, 0.0, 1.0, 3.0, 23.0, 82.0, 0.0, 5.0, 3.0, 3.0, 10.0, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 42.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 1.0, 2.0, 0.0, 0.0]","[1.0, 31.5, 48.666666666666664, 54.75, 57.6, 53.5, 56.285714285714285, 60.25, 59.0, 60.4, 63.0, 65.33333333333333, 67.38461538461539, 64.78571428571429, 63.86666666666667, 65.5625, 61.705882352941174, 63.44444444444444, 60.94736842105263, 60.55, 58.666666666666664, 56.72727272727273, 56.26086956521739, 55.666666666666664, 53.52, 52.92307692307692, 52.407407407407405, 50.607142857142854, 48.86206896551724, 47.266666666666666, 45.83870967741935, 45.125, 46.24242424242424, 44.88235294117647, 43.74285714285714, 42.611111111111114, 41.54054054054054, 40.71052631578947, 39.94871794871795, 72.29633404083555, 71.79150416200189, 68.40466217026065, 45.72694896186356, 44.0584890569499, 40.1640792772653, 24.29312423432728, 23.44988784634983, 21.340409614796897, 17.672033350103284, 12.871601000847672, 16.347615172090837, 6.862350208651368, 5.702018626693411, -1.2745177090034359, -1.484708059874221, -1.0111242115659154, -4.187461162221982, -0.575416519339468, -18.15694614309542]"
